ID поста,Тема,Раздел,Автор,Email автора,Роль автора,Содержимое,Дата создания,Отредактирован,Удалён,Лайков,Дизлайков,Рейтинг,Номер редакции
24,Как начать изучать Python с нуля?,Python,moderator2,mod2@gadukagang.com,Moderator,Это дополнительное сообщение #6 в теме 'Как начать изучать Python с нуля?'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,3,0,+3,0
25,Как начать изучать Python с нуля?,Python,admin,admin@gadukagang.com,Super Admin,Это дополнительное сообщение #7 в теме 'Как начать изучать Python с нуля?'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,10,2,+8,0
26,Django vs Flask: что выбрать?,Python,user1,user1@gadukagang.com,User,Сравнение двух популярных фреймворков для Python. Какой лучше?,2025-12-01 13:23:02,Нет,Нет,3,0,+3,0
27,Django vs Flask: что выбрать?,Python,user3,user3@gadukagang.com,User,Это дополнительное сообщение #1 в теме 'Django vs Flask: что выбрать?'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,11,0,+11,0
28,Современные фреймворки для фронтенда,Веб-разработка,user4,user4@gadukagang.com,User,Какие фреймворки вы используете для фронтенд разработки?,2025-12-01 13:23:02,Нет,Нет,2,1,+1,0
29,Современные фреймворки для фронтенда,Веб-разработка,admin,admin@gadukagang.com,Super Admin,Это дополнительное сообщение #1 в теме 'Современные фреймворки для фронтенда'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,12,0,+12,0
30,Современные фреймворки для фронтенда,Веб-разработка,moderator1,mod1@gadukagang.com,Moderator,Это дополнительное сообщение #2 в теме 'Современные фреймворки для фронтенда'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,9,2,+7,0
31,Современные фреймворки для фронтенда,Веб-разработка,user3,user3@gadukagang.com,User,Это дополнительное сообщение #3 в теме 'Современные фреймворки для фронтенда'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,8,4,+4,0
32,Современные фреймворки для фронтенда,Веб-разработка,user1,user1@gadukagang.com,User,Это дополнительное сообщение #4 в теме 'Современные фреймворки для фронтенда'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,7,0,+7,0
33,Современные фреймворки для фронтенда,Веб-разработка,user5,user5@gadukagang.com,User,Это дополнительное сообщение #5 в теме 'Современные фреймворки для фронтенда'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,9,0,+9,0
34,Современные фреймворки для фронтенда,Веб-разработка,moderator1,mod1@gadukagang.com,Moderator,Это дополнительное сообщение #6 в теме 'Современные фреймворки для фронтенда'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,0,0,0,0
35,REST API: лучшие практики проектирования,Веб-разработка,user3,user3@gadukagang.com,User,Как правильно проектировать REST API для веб-приложений?,2025-12-01 13:23:02,Нет,Нет,7,1,+6,0
36,REST API: лучшие практики проектирования,Веб-разработка,admin,admin@gadukagang.com,Super Admin,Это дополнительное сообщение #1 в теме 'REST API: лучшие практики проектирования'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,6,2,+4,0
37,REST API: лучшие практики проектирования,Веб-разработка,moderator2,mod2@gadukagang.com,Moderator,Это дополнительное сообщение #2 в теме 'REST API: лучшие практики проектирования'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,8,2,+6,0
38,PostgreSQL vs MySQL: сравнение,Базы данных,user1,user1@gadukagang.com,User,Сравнение двух популярных реляционных СУБД.,2025-12-01 13:23:02,Нет,Нет,6,3,+3,0
39,PostgreSQL vs MySQL: сравнение,Базы данных,user2,user2@gadukagang.com,User,Это дополнительное сообщение #1 в теме 'PostgreSQL vs MySQL: сравнение'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,3,2,+1,0
40,PostgreSQL vs MySQL: сравнение,Базы данных,moderator2,mod2@gadukagang.com,Moderator,Это дополнительное сообщение #2 в теме 'PostgreSQL vs MySQL: сравнение'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,1,3,-2,0
41,PostgreSQL vs MySQL: сравнение,Базы данных,user3,user3@gadukagang.com,User,Это дополнительное сообщение #3 в теме 'PostgreSQL vs MySQL: сравнение'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,8,3,+5,0
42,PostgreSQL vs MySQL: сравнение,Базы данных,user5,user5@gadukagang.com,User,Это дополнительное сообщение #4 в теме 'PostgreSQL vs MySQL: сравнение'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,8,1,+7,0
43,PostgreSQL vs MySQL: сравнение,Базы данных,moderator1,mod1@gadukagang.com,Moderator,Это дополнительное сообщение #5 в теме 'PostgreSQL vs MySQL: сравнение'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,3,2,+1,0
44,PostgreSQL vs MySQL: сравнение,Базы данных,user4,user4@gadukagang.com,User,Это дополнительное сообщение #6 в теме 'PostgreSQL vs MySQL: сравнение'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,4,3,+1,0
45,PostgreSQL vs MySQL: сравнение,Базы данных,user5,user5@gadukagang.com,User,Это дополнительное сообщение #7 в теме 'PostgreSQL vs MySQL: сравнение'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,11,1,+10,0
46,Основы кибербезопасности для разработчиков,Кибербезопасность,user5,user5@gadukagang.com,User,Какие основные принципы безопасности должен знать каждый разработчик?,2025-12-01 13:23:02,Нет,Нет,3,2,+1,0
47,Основы кибербезопасности для разработчиков,Кибербезопасность,user5,user5@gadukagang.com,User,Это дополнительное сообщение #1 в теме 'Основы кибербезопасности для разработчиков'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,8,2,+6,0
48,Основы кибербезопасности для разработчиков,Кибербезопасность,user1,user1@gadukagang.com,User,Это дополнительное сообщение #2 в теме 'Основы кибербезопасности для разработчиков'. Содержание сообщения может варьироваться в зависимости от темы обсуждения. Пользователь делится своим мнением и опытом.,2025-12-01 13:23:02,Нет,Нет,7,1,+6,0
49,Обсуждение в сообществе Python разработчики #1,Общие вопросы,user2,user2@gadukagang.com,User,"Это тема обсуждения в сообществе Python разработчики. Здесь участники обсуждают различные вопросы, связанные с тематикой сообщества.",2025-12-01 13:23:02,Нет,Нет,5,1,+4,0
50,qwe,Python,EclipseSuper,simernin.mat@gmail.com,User,qwe,2025-12-01 13:31:17,Нет,Нет,8,0,+8,0
51,Дополнительная тема #1 от user3,Кибербезопасность,user3,user3@gadukagang.com,User,"Это первое сообщение в теме ""Дополнительная тема #1 от user3"". Здесь пользователь user3 делится своими мыслями.",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
52,Дополнительная тема #1 от user3,Кибербезопасность,EclipseMail,simernin.mat@gmail.com,User,"Ответ #1 от пользователя EclipseMail на тему ""Дополнительная тема #1 от user3"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
53,Дополнительная тема #1 от user3,Кибербезопасность,EclipseModer,simernin.mat@gmail.com,Moderator,"Ответ #2 от пользователя EclipseModer на тему ""Дополнительная тема #1 от user3"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
54,Дополнительная тема #1 от user3,Кибербезопасность,EclipseModer,simernin.mat@gmail.com,Moderator,"Ответ #3 от пользователя EclipseModer на тему ""Дополнительная тема #1 от user3"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
55,Дополнительная тема #1 от user3,Кибербезопасность,user5,user5@gadukagang.com,User,"Ответ #4 от пользователя user5 на тему ""Дополнительная тема #1 от user3"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
56,Дополнительная тема #1 от user3,Кибербезопасность,user1,user1@gadukagang.com,User,"Ответ #5 от пользователя user1 на тему ""Дополнительная тема #1 от user3"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
57,Дополнительная тема #1 от user3,Кибербезопасность,moderator1,mod1@gadukagang.com,Moderator,"Ответ #6 от пользователя moderator1 на тему ""Дополнительная тема #1 от user3"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
58,Дополнительная тема #1 от user3,Кибербезопасность,EclipseMail,simernin.mat@gmail.com,User,"Ответ #7 от пользователя EclipseMail на тему ""Дополнительная тема #1 от user3"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
59,Дополнительная тема #1 от user3,Кибербезопасность,user3,user3@gadukagang.com,User,"Ответ #8 от пользователя user3 на тему ""Дополнительная тема #1 от user3"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
60,Дополнительная тема #1 от user3,Кибербезопасность,admin,admin@gadukagang.com,Super Admin,"Ответ #9 от пользователя admin на тему ""Дополнительная тема #1 от user3"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
61,Дополнительная тема #1 от user3,Кибербезопасность,user2,user2@gadukagang.com,User,"Ответ #10 от пользователя user2 на тему ""Дополнительная тема #1 от user3"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
62,Дополнительная тема #1 от user3,Кибербезопасность,admin,admin@gadukagang.com,Super Admin,"Ответ #11 от пользователя admin на тему ""Дополнительная тема #1 от user3"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
63,Дополнительная тема #2 от user4,Мобильная разработка,user4,user4@gadukagang.com,User,"Это первое сообщение в теме ""Дополнительная тема #2 от user4"". Здесь пользователь user4 делится своими мыслями.",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
64,Дополнительная тема #2 от user4,Мобильная разработка,EclipseModer,simernin.mat@gmail.com,Moderator,"Ответ #1 от пользователя EclipseModer на тему ""Дополнительная тема #2 от user4"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
65,Дополнительная тема #3 от user2,Python,user2,user2@gadukagang.com,User,"Это первое сообщение в теме ""Дополнительная тема #3 от user2"". Здесь пользователь user2 делится своими мыслями.",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
66,Дополнительная тема #3 от user2,Python,moderator1,mod1@gadukagang.com,Moderator,"Ответ #1 от пользователя moderator1 на тему ""Дополнительная тема #3 от user2"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
67,Дополнительная тема #3 от user2,Python,moderator1,mod1@gadukagang.com,Moderator,"Ответ #2 от пользователя moderator1 на тему ""Дополнительная тема #3 от user2"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
68,Дополнительная тема #3 от user2,Python,user4,user4@gadukagang.com,User,"Ответ #3 от пользователя user4 на тему ""Дополнительная тема #3 от user2"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
69,Дополнительная тема #3 от user2,Python,EclipseModer,simernin.mat@gmail.com,Moderator,"Ответ #4 от пользователя EclipseModer на тему ""Дополнительная тема #3 от user2"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
70,Дополнительная тема #3 от user2,Python,user3,user3@gadukagang.com,User,"Ответ #5 от пользователя user3 на тему ""Дополнительная тема #3 от user2"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
71,Дополнительная тема #3 от user2,Python,user2,user2@gadukagang.com,User,"Ответ #6 от пользователя user2 на тему ""Дополнительная тема #3 от user2"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
72,Дополнительная тема #3 от user2,Python,user3,user3@gadukagang.com,User,"Ответ #7 от пользователя user3 на тему ""Дополнительная тема #3 от user2"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
73,Дополнительная тема #3 от user2,Python,admin,admin@gadukagang.com,Super Admin,"Ответ #8 от пользователя admin на тему ""Дополнительная тема #3 от user2"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
74,Дополнительная тема #3 от user2,Python,user2,user2@gadukagang.com,User,"Ответ #9 от пользователя user2 на тему ""Дополнительная тема #3 от user2"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
75,Дополнительная тема #3 от user2,Python,user5,user5@gadukagang.com,User,"Ответ #10 от пользователя user5 на тему ""Дополнительная тема #3 от user2"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
76,Дополнительная тема #3 от user2,Python,user3,user3@gadukagang.com,User,"Ответ #11 от пользователя user3 на тему ""Дополнительная тема #3 от user2"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
77,Дополнительная тема #3 от user2,Python,EclipseSuper,simernin.mat@gmail.com,User,"Ответ #12 от пользователя EclipseSuper на тему ""Дополнительная тема #3 от user2"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
78,Дополнительная тема #4 от user3,Мобильная разработка,user3,user3@gadukagang.com,User,"Это первое сообщение в теме ""Дополнительная тема #4 от user3"". Здесь пользователь user3 делится своими мыслями.",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
79,Дополнительная тема #4 от user3,Мобильная разработка,EclipseSuper,simernin.mat@gmail.com,User,"Ответ #1 от пользователя EclipseSuper на тему ""Дополнительная тема #4 от user3"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
80,Дополнительная тема #4 от user3,Мобильная разработка,user1,user1@gadukagang.com,User,"Ответ #2 от пользователя user1 на тему ""Дополнительная тема #4 от user3"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
81,Дополнительная тема #5 от EclipseSuper,Общие вопросы,EclipseSuper,simernin.mat@gmail.com,User,"Это первое сообщение в теме ""Дополнительная тема #5 от EclipseSuper"". Здесь пользователь EclipseSuper делится своими мыслями.",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
82,Дополнительная тема #5 от EclipseSuper,Общие вопросы,admin,admin@gadukagang.com,Super Admin,"Ответ #1 от пользователя admin на тему ""Дополнительная тема #5 от EclipseSuper"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
83,Дополнительная тема #5 от EclipseSuper,Общие вопросы,user3,user3@gadukagang.com,User,"Ответ #2 от пользователя user3 на тему ""Дополнительная тема #5 от EclipseSuper"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
84,Дополнительная тема #5 от EclipseSuper,Общие вопросы,EclipseSuper,simernin.mat@gmail.com,User,"Ответ #3 от пользователя EclipseSuper на тему ""Дополнительная тема #5 от EclipseSuper"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
85,Дополнительная тема #5 от EclipseSuper,Общие вопросы,user4,user4@gadukagang.com,User,"Ответ #4 от пользователя user4 на тему ""Дополнительная тема #5 от EclipseSuper"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
86,Дополнительная тема #5 от EclipseSuper,Общие вопросы,EclipseMail,simernin.mat@gmail.com,User,"Ответ #5 от пользователя EclipseMail на тему ""Дополнительная тема #5 от EclipseSuper"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
87,Дополнительная тема #5 от EclipseSuper,Общие вопросы,user5,user5@gadukagang.com,User,"Ответ #6 от пользователя user5 на тему ""Дополнительная тема #5 от EclipseSuper"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
88,Дополнительная тема #5 от EclipseSuper,Общие вопросы,EclipseMail,simernin.mat@gmail.com,User,"Ответ #7 от пользователя EclipseMail на тему ""Дополнительная тема #5 от EclipseSuper"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
89,Дополнительная тема #5 от EclipseSuper,Общие вопросы,user5,user5@gadukagang.com,User,"Ответ #8 от пользователя user5 на тему ""Дополнительная тема #5 от EclipseSuper"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
90,Дополнительная тема #5 от EclipseSuper,Общие вопросы,EclipseSuper,simernin.mat@gmail.com,User,"Ответ #9 от пользователя EclipseSuper на тему ""Дополнительная тема #5 от EclipseSuper"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
91,Дополнительная тема #5 от EclipseSuper,Общие вопросы,EclipseMail,simernin.mat@gmail.com,User,"Ответ #10 от пользователя EclipseMail на тему ""Дополнительная тема #5 от EclipseSuper"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
92,Дополнительная тема #5 от EclipseSuper,Общие вопросы,eclipse,simernin.mat@gmail.com,User,"Ответ #11 от пользователя eclipse на тему ""Дополнительная тема #5 от EclipseSuper"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
93,Дополнительная тема #6 от EclipseMail,Общие вопросы,EclipseMail,simernin.mat@gmail.com,User,"Это первое сообщение в теме ""Дополнительная тема #6 от EclipseMail"". Здесь пользователь EclipseMail делится своими мыслями.",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
94,Дополнительная тема #6 от EclipseMail,Общие вопросы,user1,user1@gadukagang.com,User,"Ответ #1 от пользователя user1 на тему ""Дополнительная тема #6 от EclipseMail"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
95,Дополнительная тема #6 от EclipseMail,Общие вопросы,user2,user2@gadukagang.com,User,"Ответ #2 от пользователя user2 на тему ""Дополнительная тема #6 от EclipseMail"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
96,Дополнительная тема #6 от EclipseMail,Общие вопросы,moderator1,mod1@gadukagang.com,Moderator,"Ответ #3 от пользователя moderator1 на тему ""Дополнительная тема #6 от EclipseMail"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
97,Дополнительная тема #6 от EclipseMail,Общие вопросы,user5,user5@gadukagang.com,User,"Ответ #4 от пользователя user5 на тему ""Дополнительная тема #6 от EclipseMail"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
98,Дополнительная тема #6 от EclipseMail,Общие вопросы,user5,user5@gadukagang.com,User,"Ответ #5 от пользователя user5 на тему ""Дополнительная тема #6 от EclipseMail"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
99,Дополнительная тема #6 от EclipseMail,Общие вопросы,admin,admin@gadukagang.com,Super Admin,"Ответ #6 от пользователя admin на тему ""Дополнительная тема #6 от EclipseMail"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
100,Дополнительная тема #6 от EclipseMail,Общие вопросы,moderator1,mod1@gadukagang.com,Moderator,"Ответ #7 от пользователя moderator1 на тему ""Дополнительная тема #6 от EclipseMail"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
101,Дополнительная тема #6 от EclipseMail,Общие вопросы,admin,admin@gadukagang.com,Super Admin,"Ответ #8 от пользователя admin на тему ""Дополнительная тема #6 от EclipseMail"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
102,Дополнительная тема #6 от EclipseMail,Общие вопросы,EclipseSuper,simernin.mat@gmail.com,User,"Ответ #9 от пользователя EclipseSuper на тему ""Дополнительная тема #6 от EclipseMail"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
103,Дополнительная тема #6 от EclipseMail,Общие вопросы,admin,admin@gadukagang.com,Super Admin,"Ответ #10 от пользователя admin на тему ""Дополнительная тема #6 от EclipseMail"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
104,Дополнительная тема #6 от EclipseMail,Общие вопросы,eclipse,simernin.mat@gmail.com,User,"Ответ #11 от пользователя eclipse на тему ""Дополнительная тема #6 от EclipseMail"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
105,Дополнительная тема #6 от EclipseMail,Общие вопросы,user4,user4@gadukagang.com,User,"Ответ #12 от пользователя user4 на тему ""Дополнительная тема #6 от EclipseMail"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
106,Дополнительная тема #6 от EclipseMail,Общие вопросы,user5,user5@gadukagang.com,User,"Ответ #13 от пользователя user5 на тему ""Дополнительная тема #6 от EclipseMail"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
107,Дополнительная тема #6 от EclipseMail,Общие вопросы,EclipseSuper,simernin.mat@gmail.com,User,"Ответ #14 от пользователя EclipseSuper на тему ""Дополнительная тема #6 от EclipseMail"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
108,Дополнительная тема #6 от EclipseMail,Общие вопросы,EclipseModer,simernin.mat@gmail.com,Moderator,"Ответ #15 от пользователя EclipseModer на тему ""Дополнительная тема #6 от EclipseMail"".",2025-12-01 13:33:32,Нет,Нет,0,0,0,0
